id,Statement,Image,Web,Category,Date,Label
37826,Fact Check: Why did trolls attack Sushma Swaraj? Deshbhakti isn't the reason,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/sushma_tanvi-170x96.jpeg?7yz7DbL6bYWkH4WzxYbHOqPDIEQa_D0.,INDIATODAY,POLITICS,18-Jun,Fake
37827,"Fact File: Women Reservation Bill- BJP gave only 8% ticket to women candidates, Congress just 12%",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/1_44_0_1-170x96.jpeg?XOQ9zy8Dimg2y23Dia_DqaalRAkMyyrR,INDIATODAY,MISLEADING,18-Jul,Fake
37828,Viral Test: Does Congress support female genital mutilation?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Abhishek_Singhvi_Congress_Female_Genital_Mutilation_0-170x96.jpeg?94JUhefyADSlqicemEF7MM7ZJAr.gXJz,INDIATODAY,VIOLENCE,18-Jul,Fake
37829,Viral Test: Is a bank transaction possible through contactless card while it's in your wallet?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/contact-less_card-170x96.jpeg?fxsDM891PYDcn_C0yYHxp3bfsHurMH6q,INDIATODAY,MISLEADING,18-Jul,Fake
37830,Viral Test: 'Croatian president in bikini' setting internet on fire,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Croatia_President_Bikini_Kolinda_Coco-170x96.jpeg?ga4y71IG94gLG6MBA9OSJaaG8x3eXV_o,INDIATODAY,COVID-19,18-Jul,Fake
37831,Fact Check: Have Croatia footballers donated their prize money?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/DiUcOBtX0AEjCUR-170x96.jpeg?BjxgnW5zdvV8KvMR39MLlsZnztU_rJED,INDIATODAY,COVID-19,18-Jul,Fake
37832,Fact Check: Did East India Company issue coins with Hindu Gods?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/fact_check_1-170x96.jpeg?ZZ_vCRQkPBanI.uS9oTE1Vje_i.jjGKH,INDIATODAY,GOVERNMENT,18-Jul,Fake
37833,"Viral Test: After Panchkula gang rape case, here's the truth behind SMS claiming safety for women",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/fake_whatsapp_message_0-170x96.jpeg?nXlgIZeYSImLgXzoJQg4AMYNPX0M0X.H,INDIATODAY,MISLEADING,18-Jul,Fake
37834,Fact check: Postcard News fakes data to show more sports medals during NDA rule than UPA,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/GOLD_COAST_CWG-170x96.jpeg?VXUVwkhLLXH3FpbTB1P4ccY_LNYgC52r,INDIATODAY,GOVERNMENT,18-Jul,Fake
37835,Viral Test: Allegations of rape bully's BJP links trashed,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/handcuffs-story_1824_082916073646_1-170x96.jpeg?i8Xsb4uLIPQp8JnUmlhb8nsz9eYQkXUQ,INDIATODAY,MISLEADING,18-Jul,Fake
37836,Fact Check: Did Sitaram Yechury attend a Hindu festival in Hyderabad?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/image001-170x96.png?.p.mWiAUzT2sEtGKu.zsQ5ar2wGDHUA_,INDIATODAY,MISLEADING,18-Jul,Fake
37837,Fact Check: Reality of Jaguar 'freebies' To Modi Government,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Jaguar_fighter_planes-170x96.jpeg?.21cR8EeVl15WODQrYVG04rir9ZBVM3a,INDIATODAY,GOVERNMENT,18-Jul,Fake
37838,Viral Test: Why a Google search for Jio Institute is not a good idea,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Jio_Institute_Eminence_Google_Search_Narendra_Modi_0-170x96.jpeg?KwnKx8fdxRhDeGXxgjvw91QwUMX459Xu,INDIATODAY,COVID-19,18-Jul,Fake
37839,Viral test: How deadly rumours spread via WhatsApp groups,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/lynching-170x96.jpeg?_XdbDjsoUVz8tJtQYW2K3FJ534A5dF.K,INDIATODAY,VIOLENCE,18-Jul,Fake
37840,"Viral Test: No, the funny picture going viral is not from Rahul Gandhi's constituency",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Man_Sowing_Paddy_Road_Amethi_Almora-170x96.jpeg?Rih2J.dkpMzNER9gS0.bxU6q1GxAIHqB,INDIATODAY,MISLEADING,18-Jul,Fake
37841,Viral Test: Is Kerala's PFI supplying swords to attack Hindus?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/PFI_Kerala_Swords_Hindu_Muslim_SDPI-170x96.jpeg?IW9N4cDHuXYRzW4Wc.dl3.hM8lUi.dAU,INDIATODAY,VIOLENCE,18-Jul,Fake
37842,Viral Test: Is this sensational video of infiltration in Kashmir real?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/PTI-170x96.jpeg?thvJHFDZdYW4aezf16Yo.ecnwd0NwUha,INDIATODAY,VIOLENCE,18-Jul,Fake
37843,Fact Check: No jhappi for this after Rahul Gandhi mixes up unemployment figures,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Rahul_Gandhi_Modi_No_Confidence_Motion_1-170x96.jpeg?MNhQU3wFQiApQYQrFx3quW4YekPiCuIC,INDIATODAY,MISLEADING,18-Jul,Fake
37844,Fact Check: Did Mughals ban cow slaughter?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Rajasthan_BJP_Chief_Babur_Humayun_Mughal_Cow-170x96.jpeg?c58tmIlTsQVnLOmFGFspnwh.bVz6e2LB,INDIATODAY,MISLEADING,18-Jul,Fake
37845,Fact Check: Glaring flip flop in Rafale 'secrecy pact' revealed,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/RTS195GM-170x96.jpeg?ZSV4sChHxDzBuEDvLq7xBK_p8FUxD.p.,INDIATODAY,MISLEADING,18-Jul,Fake
37846,Fact Check: Claim linking Muslims to 96 per cent rapes in India falls flat,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/RTX5QW8P-170x96.jpeg?KOjo8hqGJQGqQGEsUpU4lLXtvX0yltjx,INDIATODAY,POLITICS,18-Jul,Fake
37847,Fact Check : Propaganda over flood relief? Photos of 'BJP' MLA carrying sack of rice on his back go viral,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/rupjyoti_kurmi_paddy_sack-170x96.jpeg?30duhm4n1.EeDyd3CuNZGXX_YFZBOcQT,INDIATODAY,VIOLENCE,18-Jul,Fake
37848,Viral Test: Shivling removal video linked to Kerala really took place in Tamil Nadu,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/shivling-170x96.jpeg?mmb.MbkMRPkWvktRp969ddViHt5ArMMS,INDIATODAY,MISLEADING,18-Jul,Fake
37849,Viral Test: Miraculous escape for Manipur student after cops baton charge at protesting mob,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Still_Pic_of_Incident-170x96.jpeg?lMHgG2yiPPK12EPZf5J6sdZVmkEmwxCR,INDIATODAY,VIOLENCE,18-Jul,Fake
37850,Viral Test: Assam's 'Muslim Homeland' video is a hoax,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Viral_Test_Assam_Muslim_Homeland_Cover_0-170x96.jpeg?IxB1F1TaRBU1Ndc1jR5j7LoBSq0umlNh,INDIATODAY,VIOLENCE,18-Jul,Fake
37851,"Viral Test: Big B, Madhuri Dixit campaigning For Imran Khan?",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/viral_test_imran_khan_1-170x96.jpeg?xC70fpeg.gZvu7N5K2DMIyt7l_azin75,INDIATODAY,MISLEADING,18-Jul,Fake
37852,Viral Test: Did RSS give British Queen a guard of honour before Independence?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Viral_test_RSS_British_guard_of_honor-170x96.jpeg?MRQDf2zG0D572_UYWyBsKtEb1ISaxQzA,INDIATODAY,GOVERNMENT,18-Jul,Fake
37853,Viral Test: Posts about Muslim board 'demanding' another partition busted,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/viral_test-170x96.jpeg?qZN.JfS_Ikd79YRD0eQ3m9w7sgk27OmW,INDIATODAY,VIOLENCE,18-Jul,Fake
37854,Viral Test: Is this video of police firing tear gas at protesters from Kashmir?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/Viral_Video-170x96.png?9Xrc5XtqV.pnc8l0Y9QMMR19nQie2lZr,INDIATODAY,VIOLENCE,18-Jul,Fake
37855,Viral Test: Was a BJP MLA chased and beaten by voters?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/vlcsnap-2018-07-16-17h38m36s111-170x96.png?KCElfoDZbV5M_.TcrsVnx_3BCVs46Ch7,INDIATODAY,VIOLENCE,18-Jul,Fake
37856,Viral Test: Rumours linking Zakir Naik's return with Congress dashed,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201807/zak-story_647_072216084936_072216120216_072616082141_0-170x96.jpeg?ViUQRwTS59HqZZMjxhmidhz2u14IGhB8,INDIATODAY,MISLEADING,18-Jul,Fake
37857,"Fact Check: No, this did not happen in PM's constituency",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/333-170x96.png?aKn4ijpo65CmzVXIZt_O_PDExFdEVA7.,INDIATODAY,GOVERNMENT,18-Aug,Fake
37858,Fact Check: The mystery behind 40-lakh omissions in Assam's NRC,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/assam_nrc_1-170x96.jpeg?_9M_n2TU16ubQxqcDTL4iOdX3B1HtYJN,INDIATODAY,COVID-19,18-Aug,Fake
37859,Fact Check: Did TMC insult the Tricolour? Here's the truth,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/fact_check-170x96.jpeg?zNg5j.zYmeTvUQQfKBq2N8zYJixCU7B1,INDIATODAY,MISLEADING,18-Aug,Fake
37860,Viral Test: The truth behind man beating cop in viral video,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Faizabad_UP_BJP_Leader_Beat_Cop_1.jpeg?p36IfFszOeo5oLvd8eqwAUqLttQcbxLZ,INDIATODAY,VIOLENCE,18-Aug,Fake
37861,"Fact Check : No, Reliance Jio is not offering any SMS posting job for you",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/jio-170x96.jpeg?_cD1MoBA0rcOM6zgx8kj7eZrlN2lmT7p,INDIATODAY,MISLEADING,18-Aug,Fake
37862,Fact Check: Did UAE offer Rs 700 crore for Kerala floods?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/kerala_floods_AP-170x96.jpeg?xQRarchJAsV._uqoVvr7NZInKRzLsvnP,INDIATODAY,COVID-19,18-Aug,Fake
37863,Fact File: Does military aid come free in flood-hit states?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Kerala_Floods_Army_Bill_Money-170x96.jpeg?ukHxeu2Yj8ewMNq3zbrPhHJ6eBQiutJp,INDIATODAY,COVID-19,18-Aug,Fake
37864,Fact Check: Former IPS officer uses old picture to target PM Modi as Kerala battles flood,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/kerala_story-170x96.png?NRFGSudNWCV4oJ0Q3TnrahdVgZkz9FV1,INDIATODAY,GOVERNMENT,18-Aug,Fake
37865,Fact Check: Now fake news floods Kerala,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/keralafake_1-170x96.jpeg?CJ6bPvNrxbomOhMVDdhJOLkjhqfnRQav,INDIATODAY,MISLEADING,18-Aug,Fake
37866,Viral Test: Girl hit by car while doing Kiki challenge,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Kiki_challenge_video-170x96.png?5MhL.Y1QyK4n.FskyZgCbL94KC8ET_Ew,INDIATODAY,MISLEADING,18-Aug,Fake
37867,Fact Check: Does PM Modi really have aversion to colour green as Shashi Tharoor alleged?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/modi-170x96.png?RoyqIYiUlxPf.gyzxhtoxpsUXx6rRism,INDIATODAY,GOVERNMENT,18-Aug,Fake
37868,Fact Check: PM Narendra Modi's Independence Day speech,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Narendra_Modi_1-170x96.jpeg?v7V4137kIcCQ351u4N8AzbLjDVzfakmD,INDIATODAY,GOVERNMENT,18-Aug,Fake
37869,Fact Check: Are MUDRA loans really generating jobs?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Narendra_Modi-170x96.jpeg?eSStxNa5x1nWFhwiBn7FjTqmT9QPwwG5,INDIATODAY,MISLEADING,18-Aug,Fake
37870,Fact Check: This viral photo from Kerala rescue is not of Indian Army,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Philippine_Army-170x96.png?nHItzS72TkBTle3nzFjyzkyl4hbpSkpb,INDIATODAY,VIOLENCE,18-Aug,Fake
37871,Fact Check: Rahul Gandhi changed price of Rafale aircraft 4 times in 5 months,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/Rahul_Gandhi_Rafale_Deal_0-170x96.jpeg?Id5v1K.CGcN2fEZvhUYx8Jzqq_Tf4oJ_,INDIATODAY,COVID-19,18-Aug,Fake
37872,Fact Check: Did a Muslim woman design Indian National Flag?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/RTS1XERB-170x96.jpeg?Krb1FVa1mel7rjmTTBTVwvVAWzV1L4Hf,INDIATODAY,POLITICS,18-Aug,Fake
37873,Viral Test: When Sanjiv Bhatt's 'pun' landed in porn world,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/sanjiv-bhatt-story-647_091917064505-170x96.jpeg?TMuIw5tnLyGw1QvncY0uGhsmQgVuc1VR,INDIATODAY,MISLEADING,18-Aug,Fake
37874,Fact Check: Those WhatsApp texts saying you will see two moons tonight are a hoax,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201808/two_moons-170x96.png?xWafYr5NWvJcAJ2EWqNRFNVB8waiEmJ8,INDIATODAY,MISLEADING,18-Aug,Fake
37875,Fact Check: Did Rahul Gandhi go blank on a question about Kailash Mansarovar?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/amit_malviya_rahul_gandhi-170x96.jpeg?qZHUIZOI1xWgO7yFW227fKhXRlO5QliI,INDIATODAY,MISLEADING,18-Sep,Fake
37876,Fact Check: Viral video spins a fake story around Boeing 737 caught in typhoon,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/image002-170x96.jpeg?3yAu03LoxLDMsreL.BHbk0mP_dH6M_NA,INDIATODAY,MISLEADING,18-Sep,Fake
37877,"Fact Check: No, J&K Police is not raising slogans for azaadi",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/J-K_POLICE-170x96.png?0ZfE4MYfJzzzvojEOT155Evaht9moYNE,INDIATODAY,VIOLENCE,18-Sep,Fake
37878,"Fact Check: No, Prime Ministerâs mother is not asking for your votes",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/Modi_Mother_Hiraben_Vote_Viral_copy-170x96.jpeg?JguUxUFjXeCQdadOOvk4_cNKLcMBzqkH,INDIATODAY,POLITICS,18-Sep,Fake
37879,Fact Check: HAL's tweet contradicting defence minister is fake,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/Nirmala_Sitharaman-170x96.jpeg?R9xhAyt7Sii7XIiWyV9C25NCxyjnbs_9,INDIATODAY,GOVERNMENT,18-Sep,Fake
37880,Fact File: Do aircraft really drop poop from sky?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/PLANE-170x96.jpeg?kt2ATV2PvSIgHElgd2wkddwlLqQlXhzc,INDIATODAY,MISLEADING,18-Sep,Fake
37881,Fact Check: This is the truth behind PM's claim on new airports,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/PMMODI_reuters-170x96.jpeg?aTVV.lRqDlaX5O9w7DE8or6gmsR1J.W_,INDIATODAY,COVID-19,18-Sep,Fake
37882,Fact Check: Did BJP leader Tajinder Bagga wear a T-shirt that called PM Modi a thief?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/POST-170x96.png?M_amDZ6JcOVwYvK7P2qy5liwuQGlknx4,INDIATODAY,GOVERNMENT,18-Sep,Fake
37883,Fact Check: Why Giriraj Singh is wrong about Rahul Gandhi's photo,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/rahul1-170x96.png?2Km0WkThQxpYa6P1lbyFVTprAKkZB7D6,INDIATODAY,GOVERNMENT,18-Sep,Fake
37884,"Fact Check: No, Rajnath Singh is not posing with fugitive bizman Nitin Sandesara",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/Rajnath-170x96.jpeg?ADfqeNXzlfBwlIScxIGublgh5ZjrElyM,INDIATODAY,GOVERNMENT,18-Sep,Fake
37885,"Fact Check: No minister, cows do not exhale oxygen!",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/rekha_arya-170x96.jpeg?zKM1jTYZYZa3ntqUaS1pyVcyxwsd_XWf,INDIATODAY,POLITICS,18-Sep,Fake
37886,"Fact Check: Damage to martyr's memorial was accident, not vandalism",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201809/sandeepunnikrishnan-170x96.jpeg?3KwUTLt3Ar5A5Kwa4QiTlbsW6NKayPyN,INDIATODAY,VIOLENCE,18-Sep,Fake
37887,Fact Check: Don't believe this emotional story from the City Of Joy,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/1_24-170x96.jpeg?69_c4hjpXimex81nrnAItQgKrWJjL2kX,INDIATODAY,GOVERNMENT,18-Oct,Fake
37888,Fact Check: Did Pakistan govt retweet Rahul Gandhiâs tweets on CBI against PM Modi?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/1_39-170x96.png?dCseHlasA14dpC2wllijM.78QopAO6ul,INDIATODAY,GOVERNMENT,18-Oct,Fake
37889,Fact Check: Netizens switch support from one CBI officer to another,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/Alok_Verma_Rakesh_Asthana-170x96.jpeg?ueUAFhEdBpPhCHAargITryOKGduCZCGC,INDIATODAY,POLITICS,18-Oct,Fake
37890,Fact Check: Handcuffed man in this photo is not Bhagat Singh,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/bhagat-singh_done-170x96.jpeg?qgxoG87r1mgVGcbFyZL7jEFeHTb59s0g,INDIATODAY,GOVERNMENT,18-Oct,Fake
37891,Fact Check: Leader being thrashed publicly by women not a BJP MLA,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/cover-170x96.jpeg?CTjuYD9ZdZF6xXuqFeeO1tr_ox_eeMjb,INDIATODAY,POLITICS,18-Oct,Fake
37892,Fact Check: DD staffer from viral Naxal attack video is not dead,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/dd_video_0-170x96.jpeg?R2hB7D.ewrldkrutxEk2dp2D40hq0ZFL,INDIATODAY,VIOLENCE,18-Oct,Fake
37893,Fact Check: This video is not Army men overpowering a terrorist but an Army man angry with his wife,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/gun_3-170x96.png?e1Ur3iMtRdY8xA4SOw2otfYL7Cp_X_8s,INDIATODAY,VIOLENCE,18-Oct,Fake
37894,Fact Check: False claims take off after Indonesian air crash,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/lion_air-170x96.jpeg?fk3qqRPQmnrtMFM._EIiCUDz6wgYddk_,INDIATODAY,MISLEADING,18-Oct,Fake
37895,Fact Check: Manoj Tiwari's claim about Centre's allocation to Delhi not based on facts,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/manoj-tiwari-story_647_071216033939_113016102535_050117073423_0-170x96.jpeg?r_tNSToj6qmnC1Lh2IF9Yf0iCSxDJGhQ,INDIATODAY,POLITICS,18-Oct,Fake
37896,"Fact Check: No, it's not Congress minister forcing cops to eat his leftover food",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/minister_fact_check-170x96.jpeg?mHWfEJDQB65Uu3XCCYNfgjtbbMzMNU7s,INDIATODAY,MISLEADING,18-Oct,Fake
37897,Fact Check: Twitter user followed by PM posts doctored video of Modi,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/modi_putin_video-170x96.png?f0PqtYOkPK.oDT6s.iGGKJ0OB65xSx9R,INDIATODAY,GOVERNMENT,18-Oct,Fake
37898,Fact Check: Pakistan again uses fake images to target India,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/Pakistan_Foreign_Minister_Shah_Mahmood_Qureshi-170x96.jpeg?Yq3rTDnnlv5_52yMMV.waQbYW5bEAW0k,INDIATODAY,GOVERNMENT,18-Oct,Fake
37899,Fact Check: This viral picture of police brutality on farmers shows only half truth,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/PTI10_2_2018_000112A-170x96.jpeg?I86XpSZjIgrERaLvKIO45idHsCss.Bji,INDIATODAY,VIOLENCE,18-Oct,Fake
